method,inst,obj_mean,time_mean,obj_std,time_std
ham_2.5opt_best,10,192,0.002647936,0,0.00095091887587
ham_2.5opt_best,15,404,0.0054231178,0,0.001978664589961
ham_2.5opt_best,20,583,0.0082821144,0,0.001599366378602
ham_2.5opt_best,25,663,0.0140854866,0,0.002671398754008
ham_2.5opt_best,30,99036,0.022411543,0,0.009151507049112
ham_2.5opt_best,40,101064,0.0225970866,0,0.004345464905679
ham_2.5opt_best,50,1171,0.0789523132,0,0.027681103809052
ham_2.5opt_best,60,1515,0.0865252646,0,0.025394526213147
ham_2.5opt_best,70,98061,0.1227422994,0,0.04027939561841
ham_2.5opt_best,80,98102,0.1600049002,0,0.039427961614059
ham_2.5opt_best,90,2189,0.1425638722,0,0.043083323369815
ham_2.5opt_best,100,2438,0.159166251,0,0.042814192125642
ham_2.5opt_best,150,4134,0.3800187752,0,0.105096340979503
ham_2.5opt_best,200,5091,0.9395139368,0,0.197486575413025
ham_2.5opt_best,250,6374,1.3824864058,0,0.199039562151575
ham_2.5opt_best,300,7561,1.3437879036,0,0.131111594078957
ham_2.5opt_best,400,10638,2.4304795888,0,0.245622965919502
ham_2.5opt_best,500,12804,3.7743567288,0,0.269715025351711
ham_2.5opt_best,600,15069,5.5679467812,0,0.357019659410927
ham_2.5opt_best,700,16954,7.826808361,0,0.503800077823928
ham_2.5opt_best,800,79958,14.672117734,0,0.761296146782138
ham_2.5opt_best,900,21146,13.4405746292,0,0.88756786228137
ham_2.5opt_best,1000,24399,16.704494726,0,0.975974995340406
ham_2.5opt_best,1500,37797,40.4950021984,0,2.2488743075337
ham_2.5opt_best,2000,49659,78.648982549,0,2.92552715610571
ham_2.5opt_best,2500,35829,101.2566308044,0,1.62543238276262
ham_2.5opt_best,3000,23930.6,178.4688659708,337.397095423183,2.72189653302049
ham_2.5opt_first,10,20110.6,0.0024601992,44563.3833859145,0.000724663160974
ham_2.5opt_first,15,434.2,0.0054402714,43.2978059490316,0.002266107593602
ham_2.5opt_first,20,20301.8,0.010329955,44238.4967104444,0.003806069943687
ham_2.5opt_first,25,656.4,0.010792161,9.83869910099908,0.002049514362139
ham_2.5opt_first,30,99036,0.0223816968,0,0.009014668741444
ham_2.5opt_first,40,101064,0.0233783328,0,0.005859100152666
ham_2.5opt_first,50,1171,0.0604315638,0,0.013040965291711
ham_2.5opt_first,60,1542.2,0.0627907606,15.2052622469986,0.015856228220957
ham_2.5opt_first,70,98061,0.0933558316,0,0.028039838255723
ham_2.5opt_first,80,98102,0.1314304894,0,0.025560591775099
